Site:,COT
Analyst:,P. Srinath

SITE,DATE,LON,LAT,READING
COT,2023-04-27,-124.0451830723228,48.82171208204447,106.9
COT,2023-04-27,-124.0449959599144,48.82160206146235,81.7
COT,2023-04-27,-124.04477503376528,48.82199654752101,57.4
COT,2023-04-27,-124.04534861910396,48.821418539652186,73.5
COT,2023-04-27,-124.04519498794188,48.82158682327567,89.1
COT,2023-04-27,-124.04516312488224,48.82170849219144,91.7
COT,2023-04-27,-124.0445730999488,48.82103578248927,12.0
COT,2023-04-27,-124.04448121439418,48.821771308407975,57.4
COT,2023-04-27,-124.0454861963625,48.82179337872944,83.0
COT,2023-04-27,-124.04590607807724,48.82187989719832,38.7
COT,2023-04-27,-124.04533928236368,48.82086359669676,3.8
COT,2023-04-27,-124.0452420417709,48.82158308493955,81.6
COT,2023-04-27,-124.04529389964284,48.821703153108906,112.2
COT,2023-04-27,-124.04450738302155,48.8213085347395,34.9
COT,2023-04-27,-124.04486854309556,48.82224146422415,34.5
COT,2023-04-27,-124.04457102795097,48.82096726524241,3.7
COT,2023-04-27,-124.04590868020028,48.82156104687494,40.7
COT,2023-04-27,-124.04535354484334,48.82126539950566,48.0
COT,2023-04-27,-124.04586984913912,48.82115964994393,17.3
COT,2023-04-27,-124.04459134343162,48.82112926828087,23.8
COT,2023-04-27,-124.0439947703169,48.82175339852361,10.7
COT,2023-04-27,-124.04504117524,48.821593675580594,87.5
COT,2023-04-27,-124.044627250467,48.821722472226085,61.5
COT,2023-04-28,-124.04493119385285,48.82209718915911,46.5
COT,2023-04-28,-124.0450144601118,48.82175614696871,95.2
COT,2023-04-28,-124.04448274761292,48.82159284980235,50.8
COT,2023-04-28,-124.04552774143173,48.82178998293305,72.5
COT,2023-04-28,-124.04527181195206,48.8212066351712,43.6
COT,2023-04-28,-124.0444916843621,48.821280290765976,30.7
COT,2023-04-28,-124.04507698020343,48.82149431646022,79.3
COT,2023-04-28,-124.0451502082046,48.821717494644645,104.9
COT,2023-04-28,-124.0452068207486,48.8217451799704,99.0
COT,2023-04-28,-124.04504063250066,48.82158958563048,60.3
COT,2023-04-28,-124.04632872355108,48.82160279904494,13.8
COT,2023-05-13,-124.04524382222924,48.821727747616364,90.7
COT,2023-05-13,-124.04547820510204,48.82180600863631,76.4
COT,2023-05-13,-124.04473152232433,48.82206924962014,53.2
COT,2023-05-13,-124.04513961536448,48.82170451016796,84.4
COT,2023-05-13,-124.04415822627766,48.82116429491348,1.6
COT,2023-05-13,-124.0447982728211,48.82211772166978,49.0
COT,2023-05-13,-124.0448081718184,48.821321947293,51.0
COT,2023-05-13,-124.04534805830735,48.8212015815676,44.2
COT,2023-05-13,-124.045172893558,48.8217010125429,121.4
COT,2023-05-13,-124.0443054177582,48.82127550134047,18.4
COT,2023-05-13,-124.04418459861344,48.82144146456242,16.9
COT,2023-05-13,-124.0451378216502,48.821812553166666,85.8
COT,2023-05-13,-124.04480271560496,48.82208899348051,45.2
COT,2023-05-13,-124.04419079408372,48.82183678021157,21.8
COT,2023-05-13,-124.04383846375327,48.821766625005445,0.7
