id,size,depth,seed
0,501,100,5161654117197816637
1,501,100,7716026309663467756
2,501,100,6841342266824263623
3,501,100,7936060760504672586
4,501,100,5617735316033512604
5,501,100,9144135189793778516
6,501,100,6713605318358960942
7,501,100,6105728094850059041
8,501,100,7420029079980985462
9,501,100,1477098363646998544
10,501,100,7651318132718524155
11,501,100,4563412163005913724
12,501,100,3206342466355746102
13,501,100,3225129173404061001
14,501,100,303212504947619448
15,501,100,4021433768859355064
16,501,100,33985951476507048
17,501,100,7275337204946504044
18,501,100,1556872765232018999
19,501,100,8168853249965606856
20,501,100,5088904659640478042
21,501,100,5880374012713706902
22,501,100,6510881734836828396
23,501,100,5960771341234162507
24,501,100,3114381733307726431
25,501,100,4977660524219733804
26,501,100,8112288630477660127
27,501,100,1418309155886985870
28,501,100,164515686518729531
29,501,100,3041576310503311202
30,501,100,1033359366207733826
31,501,100,4610064688909985575
32,501,100,7941308371639297719
33,501,100,7558359336979164885
34,501,100,5792494333815220394
35,501,100,3927553518796115495
36,501,100,5784591802378238078
37,501,100,2394390181312138743
38,501,100,2512038543751408752
39,501,100,1396420720363757060
40,501,100,8248805616023592728
41,501,100,7980072510856044170
42,501,100,6422971288459219152
43,501,100,6046775298853741476
44,501,100,8121164039299547139
45,501,100,7494018303840821665
46,501,100,2487824874777965542
47,501,100,6015129165573829139
48,501,100,5450419729853012190
49,501,100,7646822187931171435
50,501,100,1760058383990421214
51,501,100,1450067562478904523
52,501,100,3158290486083405471
53,501,100,5982947549638462759
54,501,100,6146063145460647824
55,501,100,5181960904818869091
56,501,100,3574369689751798555
57,501,100,5443649788850000880
58,501,100,3009294100059686518
59,501,100,569846169425349508
60,501,100,2558016920400411961
61,501,100,2548403654729416674
62,501,100,2403542500629578841
63,501,100,2235191918451215210
64,501,100,5181916578379780005
65,501,100,4732548102718131066
66,501,100,1013855352592574406
67,501,100,2399921680155329768
68,501,100,6512873370923272183
69,501,100,7569309371997216350
70,501,100,4993884679946740570
71,501,100,1767164966094990893
72,501,100,2788619370383537239
73,501,100,901869091230279337
74,501,100,5469891834290614465
75,501,100,8394351102092109967
76,501,100,5351981723994847164
77,501,100,444619506322542252
78,501,100,5826428614611471699
79,501,100,6260066640694432328
80,501,100,6559650918155599909
81,501,100,3613795113314221345
82,501,100,2324303556310651011
83,501,100,2879028601862452042
84,501,100,9107443647255894143
85,501,100,7923707847511258543
86,501,100,5025959762084835451
87,501,100,7858449391752273104
88,501,100,4413778158896517418
89,501,100,6293789724597138262
90,501,100,3499657618354074042
91,501,100,2519982614425037552
92,501,100,2588855148527691945
93,501,100,561250126072264406
94,501,100,6458326240032924134
95,501,100,2438832347170189804
96,501,100,2616532442295624412
97,501,100,7459820890808656453
98,501,100,6417722999912864680
99,501,100,7566165076834561010
